tickers,shortNames,longNames
BAS.DE,BASF SE,BASF SE
BNR.DE,BRENNTAG SE NA O.N.,Brenntag SE
DTG.DE,DAIMLER TRUCK HOLD,Daimler Truck Holding AG
1COV.DE,COVESTRO AG,Covestro AG
PAH3.DE,PORSCHE AUTOM.HLDG VZO,Porsche Automobil Holding SE
HNR1.DE,HANNOVER RUECK SE NA O.N.,Hannover Rück SE
DBK.DE,DEUTSCHE BANK AG,Deutsche Bank Aktiengesellschaft
QIA.DE,"QIAGEN NV  EO -,01",Qiagen N.V.
ZAL.DE,ZALANDO SE,Zalando SE
DPW.DE,DEUTSCHE POST AG,Deutsche Post AG
VOW3.DE,VOLKSWAGEN AG,Volkswagen AG
MBG.DE,MERCEDES-BENZ GROUP,Mercedes-Benz Group AG
SIE.DE,SIEMENS AG,Siemens Aktiengesellschaft
ADS.DE,ADIDAS AG,adidas AG
EOAN.DE,E.ON SE,E.ON SE
MRK.DE,MERCK KGAA,MERCK Kommanditgesellschaft auf Aktien
SHL.DE,SIEMENS HEALTH.AG NA O.N.,Siemens Healthineers AG
ALV.DE,ALLIANZ SE,Allianz SE
DTE.DE,DEUTSCHE TELEKOM AG,Deutsche Telekom AG
CON.DE,CONTINENTAL AG,Continental Aktiengesellschaft
HFG.DE,HELLOFRESH SE  INH O.N.,HelloFresh SE
FRE.DE,FRESENIUS SE&CO KGAA,Fresenius SE & Co. KGaA
IFX.DE,INFINEON TECHNOLOGIES AG,Infineon Technologies AG
LIN.DE,"LINDE PLC  EO 0,001",Linde plc
FME.DE,FRESENIUS MEDICAL CARE AG & CO ,Fresenius Medical Care AG & Co. KGaA
MUV2.DE,MUENCHENER RUECKVERSICHERUNGS A,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München
SY1.DE,SYMRISE AG INH. O.N.,Symrise AG
RWE.DE,RWE AG  INH O.N.,RWE Aktiengesellschaft
SAP.DE,SAP SE,SAP SE
AIR.DE,AIRBUS SE,Airbus SE
HEI.DE,HEIDELBERGCEMENT AG O.N.,HeidelbergCement AG
MTX.DE,MTU AERO ENGINES NA O.N.,MTU Aero Engines AG
PUM.DE,PUMA SE,PUMA SE
BEI.DE,BEIERSDORF AG O.N.,Beiersdorf Aktiengesellschaft
SRT3.DE,SARTORIUS AG VZO O.N.,Sartorius Aktiengesellschaft
DB1.DE,DEUTSCHE BOERSE NA O.N.,Deutsche Börse AG
BAYN.DE,BAYER AG,Bayer Aktiengesellschaft
VNA.DE,VONOVIA SE NA O.N.,Vonovia SE
HEN3.DE,HENKEL AG&CO. KGAA,Henkel AG & Co. KGaA
BMW.DE,BAYERISCHE MOTOREN WERKE AG,Bayerische Motoren Werke Aktiengesellschaft
