tickers,shortNames,longNames
BEN,"Franklin Resources, Inc.","Franklin Resources, Inc."
CI,Cigna Corporation,Cigna Corporation
CNC,Centene Corporation,Centene Corporation
FRC,FIRST REPUBLIC BANK,First Republic Bank
BXP,"Boston Properties, Inc.","Boston Properties, Inc."
CMG,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc."
CFG,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc."
COST,Costco Wholesale Corporation,Costco Wholesale Corporation
XYL,Xylem Inc.,Xylem Inc.
T,AT&T Inc.,AT&T Inc.
META,"Meta Platforms, Inc.","Meta Platforms, Inc."
DXCM,"DexCom, Inc.","DexCom, Inc."
BR,"Broadridge Financial Solutions,","Broadridge Financial Solutions, Inc."
UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated
ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company
OTIS,Otis Worldwide Corporation,Otis Worldwide Corporation
PKG,Packaging Corporation of Americ,Packaging Corporation of America
SJM,J.M. Smucker Company (The) New,The J. M. Smucker Company
CF,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc."
FBHS,"Fortune Brands Home & Security,","Fortune Brands Home & Security, Inc."
ALB,Albemarle Corporation,Albemarle Corporation
AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc."
SRE,DBA Sempra,Sempra
BSX,Boston Scientific Corporation,Boston Scientific Corporation
CB,Chubb Limited,Chubb Limited
ECL,Ecolab Inc.,Ecolab Inc.
PHM,"PulteGroup, Inc.","PulteGroup, Inc."
NDAQ,"Nasdaq, Inc.","Nasdaq, Inc."
TWTR,"Twitter, Inc.","Twitter, Inc."
EXPE,"Expedia Group, Inc.","Expedia Group, Inc."
DRI,"Darden Restaurants, Inc.","Darden Restaurants, Inc."
TT,Trane Technologies plc,Trane Technologies plc
MMC,"Marsh & McLennan Companies, Inc","Marsh & McLennan Companies, Inc."
CCI,Crown Castle Inc.,Crown Castle Inc.
REGN,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc."
STT,State Street Corporation,State Street Corporation
VRTX,Vertex Pharmaceuticals Incorpor,Vertex Pharmaceuticals Incorporated
BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company
AEP,American Electric Power Company,"American Electric Power Company, Inc."
CAT,"Caterpillar, Inc.",Caterpillar Inc.
FCX,"Freeport-McMoRan, Inc.",Freeport-McMoRan Inc.
DVA,DaVita Inc.,DaVita Inc.
LUMN,"Lumen Technologies, Inc.","Lumen Technologies, Inc."
COF,Capital One Financial Corporati,Capital One Financial Corporation
XEL,Xcel Energy Inc.,Xcel Energy Inc.
TEL,TE Connectivity Ltd. New Switze,TE Connectivity Ltd.
PPL,PPL Corporation,PPL Corporation
SCHW,Charles Schwab Corporation (The,The Charles Schwab Corporation
DOW,Dow Inc.,Dow Inc.
